,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
3729,세가 GT,장르: 레이싱,"일정: 출시 (2000.02.17), 출시 (2011.10.19)",ETC PC/ON,0,0,0,http://bbs.ruliweb.com/game/3487,http://bbs.ruliweb.com/game/3487/review
3730,RPG 쯔꾸르 GB,"장르: 육성, 시뮬레이션",일정: 출시 (2000.03.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3488,http://bbs.ruliweb.com/game/3488/review
3731,사쿠라 대전GB: 격 하나구미 입대!,장르: 어드벤처,일정: 출시 (2000.07.27),ETC,0,0,0,http://bbs.ruliweb.com/game/3489,http://bbs.ruliweb.com/game/3489/review
3732,B비더맨 폭 외전Ⅵ ∼파이널 메가튠,장르: 노벨,일정: 출시 (2000.01.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3490,http://bbs.ruliweb.com/game/3490/review
3733,파워스매쉬,장르: 스포츠,일정: 출시 (2001.07.01),ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3491,http://bbs.ruliweb.com/game/3491/review
3734,댄싱 스테이지 피튜어링 트루키스 데스티네이션(TDK),"장르: 리듬, 액션",일정: 출시 (2000.04.20),PS2,0,0,0,http://bbs.ruliweb.com/game/3492,http://bbs.ruliweb.com/game/3492/review
3735,로빈 로이드의 모험,장르: 어드벤처,"일정: 출시 (2008.10.01), 출시 (2008.10.23)",PS3 PS2 PSP PSN,0,0,0,http://bbs.ruliweb.com/game/3493,http://bbs.ruliweb.com/game/3493/review
3736,마블 VS 캡콤 크래시 오브 슈퍼 히어로즈,"장르: 격투, 액션","일정: 출시 (1999.11.11), 출시 (1998.01.12), 출시 (1999.03.25)",PS2 ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3494,http://bbs.ruliweb.com/game/3494/review
3737,리바이브: 소생,"장르: 육성, 시뮬레이션",일정: 출시 (1999.10.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3495,http://bbs.ruliweb.com/game/3495/review
3738,스타크래프트 64,장르: RTS,일정: 출시 (2000.06.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3496,http://bbs.ruliweb.com/game/3496/review
3739,스트리트 파이터 3: 더블 임팩트,"장르: 격투, 액션",일정: 출시 (1999.12.16),ETC,0,0,0,http://bbs.ruliweb.com/game/3498,http://bbs.ruliweb.com/game/3498/review
3740,그란투리스모 2,장르: 레이싱,일정: 출시 (1999.12.11),PS2,0,0,0,http://bbs.ruliweb.com/game/3499,http://bbs.ruliweb.com/game/3499/review
3741,릿지 레이서 5,장르: 레이싱,일정: 출시 (2000.03.04),ETC,0,0,0,http://bbs.ruliweb.com/game/3500,http://bbs.ruliweb.com/game/3500/review
3742,기갑세기 G브레이커,장르: 액션,일정: 출시 (2000.04.20),ETC,0,0,0,http://bbs.ruliweb.com/game/3501,http://bbs.ruliweb.com/game/3501/review
3743,골프 파라다이스,장르: 스포츠,일정: 출시 (2000.03.23),ETC,0,0,0,http://bbs.ruliweb.com/game/3502,http://bbs.ruliweb.com/game/3502/review
3744,전차로 GO!,"장르: 육성, 시뮬레이션",일정: 출시 (1999.12.10),PS2 ETC ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3503,http://bbs.ruliweb.com/game/3503/review
3745,바이오 하자드 2,"장르: 어드벤처, 액션","일정: 출시 (1998.01.21), 출시 (2010.12.02), 출시 (2003.01.14), 출시 (1999.10.31), 출시 (1999.12.22), 출시 (2006.02.17), 출시 (2007.12.26)",PS2 PSN ETC ETC ETC PC/ON PS3,9.5,2,0,http://bbs.ruliweb.com/game/3504,http://bbs.ruliweb.com/game/3504/review
3746,디의식탁 2,장르: 어드벤처,일정: 출시 (1999.12.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3506,http://bbs.ruliweb.com/game/3506/review
3747,메탈기어 고스트 바벨,"장르: 어드벤처, 액션",일정: 출시 (2000.04.27),ETC,0,0,0,http://bbs.ruliweb.com/game/3507,http://bbs.ruliweb.com/game/3507/review
3748,크레이지 택시,장르: 레이싱,"일정: 출시 (2000.01.27), 출시 (2010.11.24)",ETC ETC ETC PSN,10,1,0,http://bbs.ruliweb.com/game/3508,http://bbs.ruliweb.com/game/3508/review
3749,이노센트 티어즈,장르: RPG,일정: 출시 (2002.12.01),X360 ETC,0,0,0,http://bbs.ruliweb.com/game/3509,http://bbs.ruliweb.com/game/3509/review
3750,신기세계 에볼루션 2,장르: 노벨,일정: 출시 (1999.12.23),ETC,0,0,0,http://bbs.ruliweb.com/game/3510,http://bbs.ruliweb.com/game/3510/review
3751,선라이즈 영웅담,장르: RPG,일정: 출시 (1998.11.30),ETC,0,0,0,http://bbs.ruliweb.com/game/3511,http://bbs.ruliweb.com/game/3511/review
3752,바이오 하자드 코드: 베로니카,장르: 어드벤처,"일정: 출시 (2001.03.22), 출시 (2003.08.07), 출시 (2000.02.03)",ETC ETC ETC,7,1,0,http://bbs.ruliweb.com/game/3512,http://bbs.ruliweb.com/game/3512/review
3753,버추어 스트라이커 2  버전 2000.1,장르: 스포츠,일정: 출시 (1999.12.02),ETC,0,0,0,http://bbs.ruliweb.com/game/3513,http://bbs.ruliweb.com/game/3513/review
3754,카무라이,장르: RPG,일정: 출시 (2000.01.01),PS2,0,0,0,http://bbs.ruliweb.com/game/3514,http://bbs.ruliweb.com/game/3514/review
3755,체이스 더 익스프레스,장르: 액션,일정: 출시 (2000.01.27),PS2,0,0,0,http://bbs.ruliweb.com/game/3515,http://bbs.ruliweb.com/game/3515/review
3756,펌프 잇 업 2nd,"장르: 리듬, 액션",일정: 출시 (1999.12.01),ETC X360 PSP ETC,0,0,0,http://bbs.ruliweb.com/game/3516,http://bbs.ruliweb.com/game/3516/review
3757,기동전사 건담 기렌의 야망: 지온의 계보,"장르: 전략, 시뮬레이션",일정: 출시 (2000.02.10),PS2 PSP ETC,0,0,0,http://bbs.ruliweb.com/game/3517,http://bbs.ruliweb.com/game/3517/review
3758,잼잼 뮤직,"장르: 리듬, 액션",일정: 출시 (2000.04.19),ETC,0,0,0,http://bbs.ruliweb.com/game/3518,http://bbs.ruliweb.com/game/3518/review
3759,이브 제로,장르: 어드벤처,일정: 출시 (2000.03.01),PS2 ETC,0,0,0,http://bbs.ruliweb.com/game/3519,http://bbs.ruliweb.com/game/3519/review
3760,오! 바큔,장르: 어드벤처,일정: 출시 (2000.04.19),PS2,0,0,0,http://bbs.ruliweb.com/game/3520,http://bbs.ruliweb.com/game/3520/review
3761,잠보 사파리,장르: 액션,일정: 출시 (1998.11.30),ETC,0,0,0,http://bbs.ruliweb.com/game/3521,http://bbs.ruliweb.com/game/3521/review
3762,아득한 시공 속에서,장르: 어드벤처,일정: 출시 (2000.04.06),PS2,0,0,0,http://bbs.ruliweb.com/game/3522,http://bbs.ruliweb.com/game/3522/review
3763,슈퍼로봇대전 알파,"장르: SRPG, 시뮬레이션","일정: 출시 (2000.04.25), 출시 (2001.08.30)",PS2 ETC,8,1,0,http://bbs.ruliweb.com/game/3523,http://bbs.ruliweb.com/game/3523/review
